vpdmfId	journalTitle	nlmId	abbr	ISSN
44	Acta chirurgica Scandinavica	7906530	Acta Chir Scand	0001-5482
45	Acta chirurgica Scandinavica. Supplementum	370305	Acta Chir Scand Suppl	0301-1860
46	Acta cientifica venezolana	70154	Acta Cient. Venez.	0001-5504
47	Acta clinica Belgica	370306	Acta Clin Belg	0001-5512
48	Acta clinica Belgica. Supplementum	43523	Acta Clin Belg Suppl	0567-7386
49	Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]	8503035	Acta Clin Odontol	0120-9906
50	Acta crystallographica	211526	Acta Crystallogr	0365-110X
51	"Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography"	211627	Acta Crystallogr A	0567-7394
52	Acta cytologica	370307	Acta Cytol.	0001-5547
53	"Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")"	8108943	Acta Embryol Morphol Exp	0391-9706
54	Acta dermatologica-Kyoto. English edition	266344	Acta Dermatol Kyoto Engl Ed	0376-0189
55	Acta dermato-venereologica	370310	Acta Derm. Venereol.	0001-5555
56	Acta dermato-venereologica. Supplementum	370311	Acta Derm Venereol Suppl (Stockh)	0365-8341
57	Hifuka kiyo. Acta dermatologica	1305010	Hifuka Kiyo	0065-1176
58	Acta diabetologica latina	123567	Acta Diabetol Lat	0001-5563
59	Acta embryologiae experimentalis	236000	Acta Embryol Exp (Palermo)	0065-1184
60	Acta embryologiae et morphologiae experimentalis	235532	Acta Embryol Morphol Exp v2	0567-7416
61	Acta endocrinologica	370312	Acta Endocrinol.	0001-5598
62	Acta endocrinologica. Supplementum	370313	Acta Endocrinol Suppl (Copenh)	0300-9750
63	Acta Europaea fertilitatis	1300660	Acta Eur. Fertil.	0587-2421
64	Acta gastro-enterologica Belgica	414075	Acta Gastroenterol. Belg.	0001-5644
65	Acta gastroenterologica Latinoamericana	261505	Acta Gastroenterol. Latinoam.	0300-9033
66	Acta genetica et statistica medica	200600	Acta Genet Stat Med	0567-7440
67	Acta geneticae medicae et gemellologiae	370314	Acta Genet Med Gemellol (Roma)	0001-5660
68	Acta gerontologica	7501996	Acta Gerontol (Milano)	0001-5741
69	Acta ginecologica	370317	Acta Ginecol (Madr)	0001-5776
70	Acta gynaecologica et obstetrica Hispano-Lusitana	147664	Acta Gynaecol Obstet Hisp Lusit	0001-5784
71	Acta haematologica	141053	Acta Haematol.	0001-5792
72	Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society	2984803R	Nippon Ketsueki Gakkai Zasshi	0001-5806
73	Acta haematologica Polonica	262610	Acta Haematol Pol	0001-5814
74	Acta hepato-gastroenterologica	340734	Acta Hepatogastroenterol (Stuttg)	0300-970X
75	Acta historica scientiarum naturalium et medicinalium	416660	Acta Hist Sci Nat Med	0065-1311
76	Acta histochemica	370320	Acta Histochem.	0065-1281
77	Acta iberica radiologica-cancerologica	370321	Acta Iber Radiol Cancerol	0001-589X
78	Acta isotopica	421025	Acta Isot (Padova)	0001-5911
79	Acta Leidensia	413650	Acta Leiden.	0065-1362
80	Igaku kenkyu. Acta medica	421144	Igaku Kenkyu	0076-597X
81	Acta medica Academiae Scientiarum Hungaricae	370323	Acta Med Acad Sci Hung	0001-5989
82	Acta medica Austriaca	7501997	Acta Med. Austriaca	0303-8173
83	Acta medica Austriaca. Supplement	7502262	Acta Med Austriaca Suppl	0303-8181
84	Acute care	8412026	Acute Care	0254-0819
85	Acta medica et biologica	243663	Acta Med. Biol. (Niigata)	0567-7734
86	Perspectives (Gerontological Nursing Association (Canada))	8500942	Perspectives	0831-7445
87	Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia	14540080R	Acta Med Ital Med Trop Subtrop Gastroenterol	0001-6039
88	Acta medica Iugoslavica	370324	Acta Med Iugosl	0375-8338
89	Acta medicinae legalis et socialis	7611894	Acta Med Leg Soc (Liege)	0065-1397
90	Acta medica Nagasakiensia	372633	Acta Med Nagasaki	0001-6055
91	Family practice research journal	8208228	Fam Pract Res J	0270-2304
92	Fetal therapy	8700083	Fetal Ther	0257-2788
93	Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology	8807913	Gynecol. Endocrinol.	0951-3590
94	International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience	8401784	Int. J. Dev. Neurosci.	0736-5748
95	The Journal of the American Board of Family Practice / American Board of Family Practice	8807505	J Am Board Fam Pract	0893-8652
96	Journal of biological regulators and homeostatic agents	8809253	J. Biol. Regul. Homeost. Agents	0393-974X
97	Journal of bioluminescence and chemiluminescence	8612490	J. Biolumin. Chemilumin.	0884-3996
98	Acta medica Okayama	417611	Acta Med. Okayama	0386-300X
99	Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research	8610640	J. Bone Miner. Res.	0884-0431
100	Acta medica Philippina	312677	Acta Med Philipp	0001-6071
101	Acta medica Polona	370326	Acta Med Pol	0001-608X
102	Acta medica portuguesa	7906803	Acta Med Port	0870-399X
103	Acta medica Scandinavica	370330	Acta Med Scand	0001-6101
104	Acta medica Scandinavica. Supplementum	370331	Acta Med. Scand. Suppl.	0365-463X
105	Acta medica veterinaria	212	Acta Med Vet (Napoli)	0001-6136
106	Acta microbiologica Academiae Scientiarum Hungaricae	370333	Acta Microbiol Acad Sci Hung	0001-6187
107	Acta microbiologica Bulgarica	7901426	Acta Microbiol Bulg	0204-8809
108	Acta microbiologica Polonica	7610362	Acta Microbiol. Pol.	0137-1320
109	Acta microbiologica Polonica. Series A: Microbiologia generalis	7610360	Acta Microbiol Pol A	0567-7815
110	Acta microbiologica Polonica. Series B: Microbiologia applicata	7610361	Acta Microbiol Pol B	0567-7823
111	Acta morphologica Academiae Scientiarum Hungaricae	370334	Acta Morphol Acad Sci Hung	0001-6217
112	"Acta microbiologica, virologica et immunologica"	7600027	Acta Microbiol Virol Immunol (Sofiia)	0324-0452
113	Acta morphologica Hungarica	8307964	Acta Morphol Hung	0236-5391
114	Acta morphologica Neerlando-Scandinavica	370335	Acta Morphol Neerl Scand	0001-6225
115	Acta neurobiologiae experimentalis	1246675	Acta Neurobiol Exp (Wars)	0065-1400
116	Acta neurochirurgica	151000	Acta Neurochir (Wien)	0001-6268
117	Acta neurochirurgica. Supplementum	140560	Acta Neurochir Suppl (Wien)	0065-1419
118	Acta neurologica	421100	Acta Neurol (Napoli)	0001-6276
119	Acta rhumatologica	7908064	Acta Rhumatol	0250-4642
120	Acta leprologica	37353	Acta Leprol	0001-5938
121	Acta microbiologica Hungarica	8400270	Acta Microbiol. Hung.	0231-4622
122	Acta neurologica Belgica	247035	Acta Neurol Belg	0300-9009
123	Acta neurologica latinoamericana	9421556	Acta Neurol Latinoam	0001-6306
124	Acta neurologica. Quaderni	7506814	Acta Neurol Quad (Napoli)	0515-2976
125	Acta neurologica Scandinavica	370336	Acta Neurol. Scand.	0001-6314
126	Acta neurologica Scandinavica. Supplementum	370337	"Acta Neurol. Scand., Suppl.c"	0065-1427
127	Acta neuropathologica	412041	Acta Neuropathol.	0001-6322
128	Acta neuropathologica. Supplementum	370342	Acta Neuropathol Suppl	0065-1435
129	Acta neurovegetativa	162324	Acta Neuroveg (Wien)	0375-9245
130	Acta obstetrica y ginecologica hispano-lusitana	147634	Acta Obstet Ginecol Hisp Lusit	0210-9832
131	Acta obstetrica y ginecologica hispano-lusitana. Suplemento	221541	Acta Obstet Ginecol Hisp Lusit Suppl	0300-8940
132	Acta obstetrica et gynaecologica Japonica	202673	Acta Obstet Gynaecol Jpn	0001-6330
133	Acta obstetricia et gynecologica Scandinavica	370343	Acta Obstet Gynecol Scand	0001-6349
134	Acta obstetricia et gynecologica Scandinavica. Supplement	337655	Acta Obstet Gynecol Scand Suppl	0300-8835
135	Acta odontologica Scandinavica	370344	Acta Odontol. Scand.	0001-6357
136	Acta odontologica Scandinavica. Supplementum	370345	Acta Odontol Scand Suppl	0365-530X
137	Acta odontologica venezolana	14540210R	Acta Odontol Venez	0001-6365
138	Acta oncologica	370346	Acta Oncol (Madr)	0001-6381
139	Acta ophthalmologica	370347	Acta Ophthalmol (Copenh)	0001-639X
140	Acta ophthalmologica. Supplementum	370350	Acta Ophthalmol. Suppl.	0065-1451
141	Acta orthopaedica Belgica	2985165R	Acta Orthop Belg	0001-6462
142	Acta orthopaedica Scandinavica	370352	Acta Orthop Scand	0001-6470
143	Acta orthopaedica Scandinavica. Supplementum	370353	Acta Orthop Scand Suppl	0300-8827
144	Acta oto-laryngologica	370354	Acta Otolaryngol.	0001-6489
145	Acta oto-laryngologica. Supplementum	370355	Acta Otolaryngol Suppl	0365-5237
146	Acta oto-rhino-laryngologica Belgica	373057	Acta Otorhinolaryngol Belg	0001-6497
147	Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale	8213019	Acta Otorhinolaryngol Ital	0392-100X
148	Acta oto-rino-laringologica ibero-americana	7610363	Acta Otorinolaryngol Iber Am	0001-6500
149	Acta paediatrica Academiae Scientiarum Hungaricae	372634	Acta Paediatr Acad Sci Hung	0001-6527
150	Acta paediatrica Belgica	372635	Acta Paediatr Belg	0001-6535
151	Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica	413547	Nihon Shonika Gakkai Zasshi	0001-6543
152	Acta paediatrica Japonica; Overseas edition	370357	Acta Paediatr Jpn	0374-5600
153	Acta paediatrica Scandinavica	211	Acta Paediatr Scand	0001-656X
154	Acta paediatrica Scandinavica. Supplement	173166	Acta Paediatr Scand Suppl	0300-8843
155	Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui	16210470R	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi	0001-6578
156	Acta paedopsychiatrica	400661	Acta Paedopsychiatr	0001-6586
157	Series paedopsychiatrica	36662	Ser Paedopsychiatr	0080-9012
158	Acta pathologica japonica	372637	Acta Pathol. Jpn.	0001-6632
159	Acta pathologica et microbiologica Scandinavica	7508471	Acta Pathol Microbiol Scand	0365-5555
160	"Acta pathologica et microbiologica Scandinavica. Section A, Pathology"	7508468	Acta Pathol Microbiol Scand A	0365-4184
161	"Acta pathologica et microbiologica Scandinavica. Section B, Microbiology"	7508472	Acta Pathol Microbiol Scand B	0105-0656
162	"Acta pathologica et microbiologica Scandinavica. Section C, Immunology"	7508469	Acta Pathol Microbiol Scand C	0304-1328
163	Acta pathologica et microbiologica Scandinavica. Supplement	8211440	Acta Pathol Microbiol Scand Suppl	XXXX-XXXX
164	"Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement"	8211441	Acta Pathol Microbiol Immunol Scand Suppl	0108-0172
165	Acta pediatrica espanola	405466	Acta Pediatr Esp	0001-6640
166	"Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology"	8206622	Acta Pathol Microbiol Immunol Scand A	0108-0164
167	"Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology"	8206623	Acta Pathol Microbiol Immunol Scand B	0108-0180
168	"Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology"	8206624	Acta Pathol Microbiol Immunol Scand C	0108-0202
169	Acta pharmaceutica Hungarica	414322	Acta Pharm Hung	0001-6659
170	Zhongguo yao li xue bao = Acta pharmacologica Sinica	8100330	Zhongguo Yao Li Xue Bao	0253-9756
171	Yao xue xue bao = Acta pharmaceutica Sinica	21710340R	Yao Xue Xue Bao	0513-4870
172	Acta pharmaceutica Suecica	216	Acta Pharm. Suec.	0001-6675
173	Acta pharmacologica et toxicologica	370572	Acta Pharmacol Toxicol (Copenh)	0001-6683
174	Acta physiologica Academiae Scientiarum Hungaricae	371156	Acta Physiol Acad Sci Hung	0001-6756
175	Acta physiologica Hungarica	8309201	Acta Physiol Hung	0231-424X
176	Acta physiologica latino americana	60610	Acta Physiol Lat Am	0001-6764
177	Acta physiologica et pharmacologica Bulgarica	7512568	Acta Physiol Pharmacol Bulg	0323-9950
178	Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia	8409686	Acta Physiol Pharmacol Latinoam	0326-6656
179	Acta physiologica et pharmacologica Neerlandica	14610130R	Acta Physiol Pharmacol Neerl	0001-6748
180	Acta physiologica Polonica	2985166R	Acta Physiol Pol	0044-6033
181	Acta physiologica Scandinavica	370362	Acta Physiol. Scand.	0001-6772
182	Acta physiologica Scandinavica. Supplementum	376307	Acta Physiol Scand Suppl	0302-2994
183	Acta poloniae pharmaceutica	2985167R	Acta Pol Pharm	0001-6837
184	Acta psiquiatrica y psicologica de America latina	373060	Acta Psiquiatr Psicol Am Lat	0001-6896
185	Acta psychiatrica Belgica	247037	Acta Psychiatr Belg	0300-8967
186	Acta psychiatrica Scandinavica	370364	Acta Psychiatr Scand	0001-690X
187	Acta psychiatrica Scandinavica. Supplementum	370365	Acta Psychiatr Scand Suppl	0065-1591
188	Acta psychologica	370366	Acta Psychol (Amst)	0001-6918
189	Acta rhumatologica Belgica	7903226	Acta Rhumatol Belg	0378-9497
190	Acta radiologica: diagnosis	370367	Acta Radiol Diagn (Stockh)	0567-8056
191	Acta radiologica. Supplementum	370370	Acta Radiol Suppl	0365-5954
192	"Acta radiologica: therapy, physics, biology"	201	Acta Radiol Ther Phys Biol	0567-8064
193	"Acta radiologica: oncology, radiation, physics, biology"	7805897	Acta Radiol Oncol Radiat Phys Biol	0348-5196
194	Acta radiologica. Oncology	8209606	Acta Radiol Oncol	0349-652X
195	Acta medica Iranica	14540050R	Acta Med Iran	0044-6025
196	Acta rheumatologica Scandinavica	321403	Acta Rheumatol Scand	0001-6934
197	Acta Scholae Medicinalis Universitatis in Kioto	7611898	Acta Sch Med Univ Kioto	0001-6950
198	Acta Societatis Medicorum Upsaliensis	332127	Acta Soc Med Ups	0001-6985
199	Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale	8807267	Acta Stomatol Int	0255-4410
200	Nippon Ganka Gakkai zasshi	7505716	Nippon Ganka Gakkai Zasshi	0029-0203
201	Acta socio-medica Scandinavica	2985168R	Acta Sociomed Scand	0044-6041
202	Acta stomatologica Belgica	421026	Acta Stomatol Belg	0001-7000
203	Acta stomatologica Croatica	253456	Acta Stomatol Croat	0001-7019
204	Acta theriologica	314001	Acta Theriol.	0001-7051
205	Acta tropica	370374	Acta Trop.	0001-706X
206	Acta tropica. Supplementum	7611896	Acta Trop Suppl	0365-1541
207	Acta tuberculosea et pneumologica Belgica	370376	Acta Tuberc Pneumol Belg	0001-7078
208	Acta tuberculosea Japonica	157725	Acta Tuberc Jpn	0567-8161
209	Acta tuberculosea et pneumologica Scandinavica	64362	Acta Tuberc Pneumol Scand	0365-7531
210	Acta Universitatis Carolinae. Medica	2985169R	Acta Univ Carol Med (Praha)	0001-7116
211	Acta Universitatis Carolinae. Medica. Monographia	177667	Acta Univ Carol Med Monogr	0567-8250
212	Acta urologica Belgica	377045	Acta Urol Belg	0001-7183
213	Hinyokika kiyo. Acta urologica Japonica	421145	Hinyokika Kiyo	0018-1994
214	Acta veterinaria Academiae Scientiarum Hungaricae	370377	Acta Vet Acad Sci Hung	0001-7205
215	Acta veterinaria Hungarica	8406376	Acta Vet. Hung.	0236-6290
216	Acta veterinaria Scandinavica	370400	Acta Vet. Scand.	0044-605X
217	Acta veterinaria Scandinavica. Supplementum	61331	Acta Vet Scand Suppl	0065-1699
218	Acta virologica	370401	Acta Virol.	0001-723X
219	Acta vitaminologica et enzymologica	135063	Acta Vitaminol. Enzymol.	0300-8924
220	Acta zoologica et pathologica Antverpiensia	100314	Acta Zool Pathol Antverp	0001-7280
221	The African journal of psychiatry	7802295	Afr J Psychiatry	0331-0175
222	Actas dermo-sifiliograficas	373062	Actas Dermosifiliogr	0001-7310
223	Actas urologicas espanolas	7704993	Actas Urol Esp	0210-4806
224	Acta Universitatis Palackianae Olomucensis Facultatis Medicae	363112	Acta Univ Palacki Olomuc Fac Med	0301-2514
225	"Actas luso-espanolas de neurologia, psiquiatria y ciencias afines"	355573	Actas Luso Esp Neurol Psiquiatr Cienc Afines	0300-5062
226	Actas luso-espanolas de neurologia y psiquiatria	355646	Actas Luso Esp Neurol Psiquiatr	0001-7329
227	Actualites cardiologiques et angeiologiques internationales	143027	Actual Cardiol Angeiol Int (Paris)	0365-1045
228	Actualites endocrinologiques	370405	Actual Endocrinol (Paris)	0065-1826
229	Actualites hepato-gastro-enterologiques	264367	Actual Hepatogastroenterol (Paris)	0240-8007
230	Actualites neurophysiologiques	7513548	Actual Neurophysiol (Paris)	0567-882X
231	Actualites odonto-stomatologiques	370406	Actual Odontostomatol (Paris)	0001-7817
232	Actualidad pediatrica; revista de bibliografia internacional	2985171R	Actual Pediatr (Granada)	0001-7671
233	Actualites pharmacologiques	370407	Actual Pharmacol (Paris)	0567-8854
234	Acupuncture & electro-therapeutics research	7610364	Acupunct Electrother Res	0360-1293
235	Actualites de physiologie pathologique	7611901	Actual Physiol Pathol (Paris)	0567-8714
236	Addictive behaviors	7603486	Addict Behav	0306-4603
237	Advance data	7703830	Adv Data	0147-3956
238	ADM; revista de la Asociacion Dental Mexicana	370411	ADM	0001-0944
239	Administration in social work	7800009	Adm Soc Work	0364-3107
240	Addictive diseases	425064	Addict Dis	0094-0267
241	Administrative science quarterly	240207	Adm Sci Q	0001-8392
242	Adolescence	123667	Adolescence	0001-8449
243	Adult education	9877760	Adult Educ	0001-8481
244	"Advances in anatomy, embryology, and cell biology"	407712	Adv Anat Embryol Cell Biol	0301-5556
245	Advances in applied microbiology	370413	Adv. Appl. Microbiol.	0065-2164
246	Administration in mental health	361564	Adm Ment Health	0090-1180
247	Advances in biochemical psychopharmacology	211233	Adv. Biochem. Psychopharmacol.	0065-2229
248	Advances in biological and medical physics	370414	Adv Biol Med Phys	0065-2245
249	"Lifelong learning, the adult years / Adult Education Association of the United States of America"	9877808	Lifelong Learn Adult Years	0148-2165
250	Advances in biochemical engineering/biotechnology	8307733	Adv. Biochem. Eng. Biotechnol.	0724-6145
251	Advances in biology of skin	426664	Adv Biol Skin	0065-2253
252	Advances in biomedical engineering and medical physics	7611904	Adv Biomed Eng Med Phys	0065-2261
253	Advances in biophysics	262476	Adv. Biophys.	0065-227X
254	Advances in cancer research	370416	Adv. Cancer Res.	0065-230X
255	Advances in carbohydrate chemistry and biochemistry	240537	Adv Carbohydr Chem Biochem	0065-2318
256	Advances in cardiology	270063	Adv Cardiol	0065-2326
257	Advances in cardiopulmonary diseases	14630130R	Adv Cardiopulm Dis	0065-2334
258	Advances in cell biology	235424	Adv Cell Biol	0065-2369
259	Advances in chemotherapy	236562	Adv Chemother	0567-9877
260	Advances in child development and behavior	370417	Adv Child Dev Behav	0065-2407
261	Advances in contraception : the official journal of the Society for the Advancement of Contraception	8607435	Adv Contracept	0267-4874
262	Advances in chromatography	121020	Adv Chromatogr	0065-2415
263	Advances in clinical chemistry	2985173R	Adv Clin Chem	0065-2423
264	Advances in clinical pharmacology	430232	Adv Clin Pharmacol	0303-2671
265	Advances in comparative physiology and biochemistry	370422	Adv Comp Physiol Biochem	0065-244X
266	Advances in cyclic nucleotide and protein phosphorylation research	8404639	Adv Cyclic Nucleotide Protein Phosphorylation Res	0747-7767
267	Advances in cyclic nucleotide research	341362	Adv Cyclic Nucleotide Res	0084-5930
268	Advances in cytopharmacology	1301733	Adv Cytopharmacol	0084-5949
269	Advances in drug research	40021	Adv Drug Res	0065-2490
270	Advances in enzyme regulation	44263	Adv. Enzyme Regul.	0065-2571
271	Advances in enzymology and related areas of molecular biology	337243	Adv. Enzymol. Relat. Areas Mol. Biol.	0065-258X
272	Advances in experimental medicine and biology	121103	Adv. Exp. Med. Biol.	0065-2598
273	Advances in fluorine research and dental caries prevention	14630160R	Adv Fluorine Res	0567-994X
274	Advances in health economics and health services research	8206631	Adv Health Econ Health Serv Res	0731-2199
275	Aktuelle Traumatologie	421405	Aktuelle Traumatol	0044-6173
276	Advances in food research	370423	Adv Food Res	0065-2628
277	Advances in immunity and cancer therapy	8601071	Adv Immun Cancer Ther	0178-2134
278	Advances in genetics	370421	Adv. Genet.	0065-2660
279	Advances in gerontological research	436264	Adv Gerontol Res	0065-2709
280	Advances in nutritional research	7802764	Adv Nutr Res	0149-9483
281	Advances in heterocyclic chemistry	370424	Adv Heterocycl Chem	0065-2725
282	Advances in human genetics	1256347	Adv. Hum. Genet.	0065-275X
283	Advances in immunology	370425	Adv. Immunol.	0065-2776
284	Advances in inorganic biochemistry	7909203	Adv. Inorg. Biochem.	0190-0218
285	Advances in internal medicine	370427	Adv Intern Med	0065-2822
286	Advances in lipid research	262	Adv. Lipid Res.	0065-2849
287	Advances in metabolic disorders	370430	Adv Metab Disord	0065-2903
288	Advances in microbial physiology	117147	Adv. Microb. Physiol.	0065-2911
289	Advances in nephrology from the Necker Hospital	311622	Adv. Nephrol. Necker Hosp.	0084-5957
290	Advances in morphogenesis	7611906	Adv Morphog	0065-2962
291	Advances in neurology	367524	Adv Neurol	0091-3952
292	Shinkei kenkyu no shimpo. Advances in neurological sciences	67457	Shinkei Kenkyu No Shimpo	0001-8724
293	Advances in alcohol & substance abuse	8107172	Adv Alcohol Subst Abuse	0270-3106
294	Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie	263212	Adv Ophthalmol	0065-3004
295	Advances in oral biology	261	Adv Oral Biol	0065-3020
296	Advances in oto-rhino-laryngology	242534	Adv. Otorhinolaryngol.	0065-3071
297	Advances in prostaglandin and thromboxane research	7610366	Adv Prostaglandin Thromboxane Res	0361-5952
298	Advances in parasitology	370435	Adv. Parasitol.	0065-308X
299	Advances in pathobiology	7511090	Adv Pathobiol	0099-1147
300	Advances in pediatrics	370436	Adv Pediatr	0065-3101
301	Advances in pest control research	14640020R	Adv Pest Control Res	0568-0107
302	Advances in pharmaceutical sciences	40024	Adv Pharm Sci	0065-3136
303	Advances in pharmacology and chemotherapy	237113	Adv Pharmacol Chemother	0065-3144
304	Adverse drug reactions and acute poisoning reviews	8217118	Adverse Drug React Acute Poisoning Rev	0260-647X
305	Advances in protein chemistry	116732	Adv. Protein Chem.	0065-3233
306	"Advances in prostaglandin, thromboxane, and leukotriene research"	8211444	Adv. Prostaglandin Thromboxane Leukot. Res.	0732-8141
307	Advances in psychobiology	337407	Adv Psychobiol	0065-3241
308	Advances in psychosomatic medicine	101303	Adv Psychosom Med	0065-3268
309	Advancement of science	370412	Adv Sci	0001-866X
310	Advances in steroid biochemistry and pharmacology	1251746	Adv Steroid Biochem Pharmacol	0065-339X
311	Advances in surgery	45335	Adv Surg	0065-3411
312	Advances in reproductive physiology	7513188	Adv Reprod Physiol	0065-3322
313	Advances in tracer methodology	14640050R	Adv Tracer Methodol	0065-3497
314	Advances in sex hormone research	7504908	Adv Sex Horm Res	0098-0137
315	Advances in socio-dental research	410245	Adv Sociodent Res	0092-9816
316	Advances in tuberculosis research. Fortschritte der Tuberkuloseforschung. Progres de l'exploration de la tuberculose	347575	Adv Tuberc Res	0065-3500
317	Advances in veterinary science and comparative medicine	216540	Adv Vet Sci Comp Med	0065-3519
318	Advances in shock research	7908298	Adv Shock Res	0195-878X
319	Advances in virus research	370441	Adv. Virus Res.	0065-3527
320	Aeromedical reviews	373063	Aeromed Rev	0065-3683
321	Aerospace medicine	7501696	Aerosp Med	0001-9402
322	Arztliche Forschung	7611907	Arztl Forsch	0001-9496
323	Arztliche Jugendkunde	370444	Arztl Jugendkd	0001-9518
324	Asthetische Medizin	253745	Asthet Med (Berl)	0400-6755
325	Aesthetic plastic surgery	7701756	Aesthetic Plast Surg	0364-216X
326	The AFL-CIO American federationist. AFL-CIO	9877748	AFL CIO Am Fed	0149-2489
327	The African journal of medical sciences	7611908	Afr J Med Sci	0002-0028
328	Aging & leisure living	7910857	Aging Leis Living	0194-455X
329	Age and ageing	375655	Age Ageing	0002-0729
330	Aging	50677	Aging	0002-0966
331	Agents and actions	213341	Agents Actions	0065-4299
332	Aggiornamenti clinicoterapeutici	376310	Aggiorn Clinico Ter	0002-0907
333	Agents and actions. Supplements	7801014	Agents Actions Suppl.	0379-0363
