vpdmfId	viewType	locked	vpdmfLabel	vpdmfUri	namespace	thumbnail	indexTuple
51	.Journal.%	\N	Acta Crystallogr A.	\N	\N	\N	Acta Crystallogr A.
52	.Journal.%	\N	Acta Cytol..	\N	\N	\N	Acta Cytol..
53	.Journal.%	\N	Acta Embryol Morphol Exp.	\N	\N	\N	Acta Embryol Morphol Exp.
54	.Journal.%	\N	Acta Dermatol Kyoto Engl Ed.	\N	\N	\N	Acta Dermatol Kyoto Engl Ed.
55	.Journal.%	\N	Acta Derm. Venereol..	\N	\N	\N	Acta Derm. Venereol..
56	.Journal.%	\N	Acta Derm Venereol Suppl (Stockh).	\N	\N	\N	Acta Derm Venereol Suppl (Stockh).
57	.Journal.%	\N	Hifuka Kiyo.	\N	\N	\N	Hifuka Kiyo.
58	.Journal.%	\N	Acta Diabetol Lat.	\N	\N	\N	Acta Diabetol Lat.
59	.Journal.%	\N	Acta Embryol Exp (Palermo).	\N	\N	\N	Acta Embryol Exp (Palermo).
60	.Journal.%	\N	Acta Embryol Morphol Exp v2.	\N	\N	\N	Acta Embryol Morphol Exp v2.
61	.Journal.%	\N	Acta Endocrinol..	\N	\N	\N	Acta Endocrinol..
62	.Journal.%	\N	Acta Endocrinol Suppl (Copenh).	\N	\N	\N	Acta Endocrinol Suppl (Copenh).
63	.Journal.%	\N	Acta Eur. Fertil..	\N	\N	\N	Acta Eur. Fertil..
64	.Journal.%	\N	Acta Gastroenterol. Belg..	\N	\N	\N	Acta Gastroenterol. Belg..
65	.Journal.%	\N	Acta Gastroenterol. Latinoam..	\N	\N	\N	Acta Gastroenterol. Latinoam..
66	.Journal.%	\N	Acta Genet Stat Med.	\N	\N	\N	Acta Genet Stat Med.
67	.Journal.%	\N	Acta Genet Med Gemellol (Roma).	\N	\N	\N	Acta Genet Med Gemellol (Roma).
68	.Journal.%	\N	Acta Gerontol (Milano).	\N	\N	\N	Acta Gerontol (Milano).
69	.Journal.%	\N	Acta Ginecol (Madr).	\N	\N	\N	Acta Ginecol (Madr).
70	.Journal.%	\N	Acta Gynaecol Obstet Hisp Lusit.	\N	\N	\N	Acta Gynaecol Obstet Hisp Lusit.
71	.Journal.%	\N	Acta Haematol..	\N	\N	\N	Acta Haematol..
72	.Journal.%	\N	Nippon Ketsueki Gakkai Zasshi.	\N	\N	\N	Nippon Ketsueki Gakkai Zasshi.
73	.Journal.%	\N	Acta Haematol Pol.	\N	\N	\N	Acta Haematol Pol.
74	.Journal.%	\N	Acta Hepatogastroenterol (Stuttg).	\N	\N	\N	Acta Hepatogastroenterol (Stuttg).
75	.Journal.%	\N	Acta Hist Sci Nat Med.	\N	\N	\N	Acta Hist Sci Nat Med.
76	.Journal.%	\N	Acta Histochem..	\N	\N	\N	Acta Histochem..
77	.Journal.%	\N	Acta Iber Radiol Cancerol.	\N	\N	\N	Acta Iber Radiol Cancerol.
78	.Journal.%	\N	Acta Isot (Padova).	\N	\N	\N	Acta Isot (Padova).
79	.Journal.%	\N	Acta Leiden..	\N	\N	\N	Acta Leiden..
80	.Journal.%	\N	Igaku Kenkyu.	\N	\N	\N	Igaku Kenkyu.
81	.Journal.%	\N	Acta Med Acad Sci Hung.	\N	\N	\N	Acta Med Acad Sci Hung.
82	.Journal.%	\N	Acta Med. Austriaca.	\N	\N	\N	Acta Med. Austriaca.
83	.Journal.%	\N	Acta Med Austriaca Suppl.	\N	\N	\N	Acta Med Austriaca Suppl.
84	.Journal.%	\N	Acute Care.	\N	\N	\N	Acute Care.
85	.Journal.%	\N	Acta Med. Biol. (Niigata).	\N	\N	\N	Acta Med. Biol. (Niigata).
86	.Journal.%	\N	Perspectives.	\N	\N	\N	Perspectives.
87	.Journal.%	\N	Acta Med Ital Med Trop Subtrop Gastroenterol.	\N	\N	\N	Acta Med Ital Med Trop Subtrop Gastroenterol.
88	.Journal.%	\N	Acta Med Iugosl.	\N	\N	\N	Acta Med Iugosl.
89	.Journal.%	\N	Acta Med Leg Soc (Liege).	\N	\N	\N	Acta Med Leg Soc (Liege).
90	.Journal.%	\N	Acta Med Nagasaki.	\N	\N	\N	Acta Med Nagasaki.
91	.Journal.%	\N	Fam Pract Res J.	\N	\N	\N	Fam Pract Res J.
92	.Journal.%	\N	Fetal Ther.	\N	\N	\N	Fetal Ther.
93	.Journal.%	\N	Gynecol. Endocrinol..	\N	\N	\N	Gynecol. Endocrinol..
94	.Journal.%	\N	Int. J. Dev. Neurosci..	\N	\N	\N	Int. J. Dev. Neurosci..
95	.Journal.%	\N	J Am Board Fam Pract.	\N	\N	\N	J Am Board Fam Pract.
96	.Journal.%	\N	J. Biol. Regul. Homeost. Agents.	\N	\N	\N	J. Biol. Regul. Homeost. Agents.
97	.Journal.%	\N	J. Biolumin. Chemilumin..	\N	\N	\N	J. Biolumin. Chemilumin..
98	.Journal.%	\N	Acta Med. Okayama.	\N	\N	\N	Acta Med. Okayama.
99	.Journal.%	\N	J. Bone Miner. Res..	\N	\N	\N	J. Bone Miner. Res..
100	.Journal.%	\N	Acta Med Philipp.	\N	\N	\N	Acta Med Philipp.
101	.Journal.%	\N	Acta Med Pol.	\N	\N	\N	Acta Med Pol.
102	.Journal.%	\N	Acta Med Port.	\N	\N	\N	Acta Med Port.
103	.Journal.%	\N	Acta Med Scand.	\N	\N	\N	Acta Med Scand.
104	.Journal.%	\N	Acta Med. Scand. Suppl..	\N	\N	\N	Acta Med. Scand. Suppl..
105	.Journal.%	\N	Acta Med Vet (Napoli).	\N	\N	\N	Acta Med Vet (Napoli).
106	.Journal.%	\N	Acta Microbiol Acad Sci Hung.	\N	\N	\N	Acta Microbiol Acad Sci Hung.
107	.Journal.%	\N	Acta Microbiol Bulg.	\N	\N	\N	Acta Microbiol Bulg.
108	.Journal.%	\N	Acta Microbiol. Pol..	\N	\N	\N	Acta Microbiol. Pol..
109	.Journal.%	\N	Acta Microbiol Pol A.	\N	\N	\N	Acta Microbiol Pol A.
110	.Journal.%	\N	Acta Microbiol Pol B.	\N	\N	\N	Acta Microbiol Pol B.
111	.Journal.%	\N	Acta Morphol Acad Sci Hung.	\N	\N	\N	Acta Morphol Acad Sci Hung.
112	.Journal.%	\N	Acta Microbiol Virol Immunol (Sofiia).	\N	\N	\N	Acta Microbiol Virol Immunol (Sofiia).
113	.Journal.%	\N	Acta Morphol Hung.	\N	\N	\N	Acta Morphol Hung.
114	.Journal.%	\N	Acta Morphol Neerl Scand.	\N	\N	\N	Acta Morphol Neerl Scand.
115	.Journal.%	\N	Acta Neurobiol Exp (Wars).	\N	\N	\N	Acta Neurobiol Exp (Wars).
116	.Journal.%	\N	Acta Neurochir (Wien).	\N	\N	\N	Acta Neurochir (Wien).
117	.Journal.%	\N	Acta Neurochir Suppl (Wien).	\N	\N	\N	Acta Neurochir Suppl (Wien).
118	.Journal.%	\N	Acta Neurol (Napoli).	\N	\N	\N	Acta Neurol (Napoli).
119	.Journal.%	\N	Acta Rhumatol.	\N	\N	\N	Acta Rhumatol.
120	.Journal.%	\N	Acta Leprol.	\N	\N	\N	Acta Leprol.
121	.Journal.%	\N	Acta Microbiol. Hung..	\N	\N	\N	Acta Microbiol. Hung..
122	.Journal.%	\N	Acta Neurol Belg.	\N	\N	\N	Acta Neurol Belg.
123	.Journal.%	\N	Acta Neurol Latinoam.	\N	\N	\N	Acta Neurol Latinoam.
124	.Journal.%	\N	Acta Neurol Quad (Napoli).	\N	\N	\N	Acta Neurol Quad (Napoli).
125	.Journal.%	\N	Acta Neurol. Scand..	\N	\N	\N	Acta Neurol. Scand..
126	.Journal.%	\N	Acta Neurol. Scand., Suppl.c.	\N	\N	\N	Acta Neurol. Scand., Suppl.c.
127	.Journal.%	\N	Acta Neuropathol..	\N	\N	\N	Acta Neuropathol..
128	.Journal.%	\N	Acta Neuropathol Suppl.	\N	\N	\N	Acta Neuropathol Suppl.
129	.Journal.%	\N	Acta Neuroveg (Wien).	\N	\N	\N	Acta Neuroveg (Wien).
130	.Journal.%	\N	Acta Obstet Ginecol Hisp Lusit.	\N	\N	\N	Acta Obstet Ginecol Hisp Lusit.
131	.Journal.%	\N	Acta Obstet Ginecol Hisp Lusit Suppl.	\N	\N	\N	Acta Obstet Ginecol Hisp Lusit Suppl.
132	.Journal.%	\N	Acta Obstet Gynaecol Jpn.	\N	\N	\N	Acta Obstet Gynaecol Jpn.
133	.Journal.%	\N	Acta Obstet Gynecol Scand.	\N	\N	\N	Acta Obstet Gynecol Scand.
134	.Journal.%	\N	Acta Obstet Gynecol Scand Suppl.	\N	\N	\N	Acta Obstet Gynecol Scand Suppl.
135	.Journal.%	\N	Acta Odontol. Scand..	\N	\N	\N	Acta Odontol. Scand..
136	.Journal.%	\N	Acta Odontol Scand Suppl.	\N	\N	\N	Acta Odontol Scand Suppl.
137	.Journal.%	\N	Acta Odontol Venez.	\N	\N	\N	Acta Odontol Venez.
138	.Journal.%	\N	Acta Oncol (Madr).	\N	\N	\N	Acta Oncol (Madr).
139	.Journal.%	\N	Acta Ophthalmol (Copenh).	\N	\N	\N	Acta Ophthalmol (Copenh).
140	.Journal.%	\N	Acta Ophthalmol. Suppl..	\N	\N	\N	Acta Ophthalmol. Suppl..
141	.Journal.%	\N	Acta Orthop Belg.	\N	\N	\N	Acta Orthop Belg.
142	.Journal.%	\N	Acta Orthop Scand.	\N	\N	\N	Acta Orthop Scand.
143	.Journal.%	\N	Acta Orthop Scand Suppl.	\N	\N	\N	Acta Orthop Scand Suppl.
144	.Journal.%	\N	Acta Otolaryngol..	\N	\N	\N	Acta Otolaryngol..
145	.Journal.%	\N	Acta Otolaryngol Suppl.	\N	\N	\N	Acta Otolaryngol Suppl.
146	.Journal.%	\N	Acta Otorhinolaryngol Belg.	\N	\N	\N	Acta Otorhinolaryngol Belg.
147	.Journal.%	\N	Acta Otorhinolaryngol Ital.	\N	\N	\N	Acta Otorhinolaryngol Ital.
148	.Journal.%	\N	Acta Otorinolaryngol Iber Am.	\N	\N	\N	Acta Otorinolaryngol Iber Am.
149	.Journal.%	\N	Acta Paediatr Acad Sci Hung.	\N	\N	\N	Acta Paediatr Acad Sci Hung.
150	.Journal.%	\N	Acta Paediatr Belg.	\N	\N	\N	Acta Paediatr Belg.
151	.Journal.%	\N	Nihon Shonika Gakkai Zasshi.	\N	\N	\N	Nihon Shonika Gakkai Zasshi.
152	.Journal.%	\N	Acta Paediatr Jpn.	\N	\N	\N	Acta Paediatr Jpn.
153	.Journal.%	\N	Acta Paediatr Scand.	\N	\N	\N	Acta Paediatr Scand.
154	.Journal.%	\N	Acta Paediatr Scand Suppl.	\N	\N	\N	Acta Paediatr Scand Suppl.
155	.Journal.%	\N	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi.	\N	\N	\N	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi.
156	.Journal.%	\N	Acta Paedopsychiatr.	\N	\N	\N	Acta Paedopsychiatr.
157	.Journal.%	\N	Ser Paedopsychiatr.	\N	\N	\N	Ser Paedopsychiatr.
158	.Journal.%	\N	Acta Pathol. Jpn..	\N	\N	\N	Acta Pathol. Jpn..
159	.Journal.%	\N	Acta Pathol Microbiol Scand.	\N	\N	\N	Acta Pathol Microbiol Scand.
160	.Journal.%	\N	Acta Pathol Microbiol Scand A.	\N	\N	\N	Acta Pathol Microbiol Scand A.
161	.Journal.%	\N	Acta Pathol Microbiol Scand B.	\N	\N	\N	Acta Pathol Microbiol Scand B.
162	.Journal.%	\N	Acta Pathol Microbiol Scand C.	\N	\N	\N	Acta Pathol Microbiol Scand C.
163	.Journal.%	\N	Acta Pathol Microbiol Scand Suppl.	\N	\N	\N	Acta Pathol Microbiol Scand Suppl.
164	.Journal.%	\N	Acta Pathol Microbiol Immunol Scand Suppl.	\N	\N	\N	Acta Pathol Microbiol Immunol Scand Suppl.
165	.Journal.%	\N	Acta Pediatr Esp.	\N	\N	\N	Acta Pediatr Esp.
166	.Journal.%	\N	Acta Pathol Microbiol Immunol Scand A.	\N	\N	\N	Acta Pathol Microbiol Immunol Scand A.
167	.Journal.%	\N	Acta Pathol Microbiol Immunol Scand B.	\N	\N	\N	Acta Pathol Microbiol Immunol Scand B.
168	.Journal.%	\N	Acta Pathol Microbiol Immunol Scand C.	\N	\N	\N	Acta Pathol Microbiol Immunol Scand C.
169	.Journal.%	\N	Acta Pharm Hung.	\N	\N	\N	Acta Pharm Hung.
170	.Journal.%	\N	Zhongguo Yao Li Xue Bao.	\N	\N	\N	Zhongguo Yao Li Xue Bao.
171	.Journal.%	\N	Yao Xue Xue Bao.	\N	\N	\N	Yao Xue Xue Bao.
172	.Journal.%	\N	Acta Pharm. Suec..	\N	\N	\N	Acta Pharm. Suec..
173	.Journal.%	\N	Acta Pharmacol Toxicol (Copenh).	\N	\N	\N	Acta Pharmacol Toxicol (Copenh).
174	.Journal.%	\N	Acta Physiol Acad Sci Hung.	\N	\N	\N	Acta Physiol Acad Sci Hung.
175	.Journal.%	\N	Acta Physiol Hung.	\N	\N	\N	Acta Physiol Hung.
176	.Journal.%	\N	Acta Physiol Lat Am.	\N	\N	\N	Acta Physiol Lat Am.
177	.Journal.%	\N	Acta Physiol Pharmacol Bulg.	\N	\N	\N	Acta Physiol Pharmacol Bulg.
178	.Journal.%	\N	Acta Physiol Pharmacol Latinoam.	\N	\N	\N	Acta Physiol Pharmacol Latinoam.
179	.Journal.%	\N	Acta Physiol Pharmacol Neerl.	\N	\N	\N	Acta Physiol Pharmacol Neerl.
180	.Journal.%	\N	Acta Physiol Pol.	\N	\N	\N	Acta Physiol Pol.
181	.Journal.%	\N	Acta Physiol. Scand..	\N	\N	\N	Acta Physiol. Scand..
182	.Journal.%	\N	Acta Physiol Scand Suppl.	\N	\N	\N	Acta Physiol Scand Suppl.
183	.Journal.%	\N	Acta Pol Pharm.	\N	\N	\N	Acta Pol Pharm.
184	.Journal.%	\N	Acta Psiquiatr Psicol Am Lat.	\N	\N	\N	Acta Psiquiatr Psicol Am Lat.
185	.Journal.%	\N	Acta Psychiatr Belg.	\N	\N	\N	Acta Psychiatr Belg.
186	.Journal.%	\N	Acta Psychiatr Scand.	\N	\N	\N	Acta Psychiatr Scand.
187	.Journal.%	\N	Acta Psychiatr Scand Suppl.	\N	\N	\N	Acta Psychiatr Scand Suppl.
188	.Journal.%	\N	Acta Psychol (Amst).	\N	\N	\N	Acta Psychol (Amst).
189	.Journal.%	\N	Acta Rhumatol Belg.	\N	\N	\N	Acta Rhumatol Belg.
190	.Journal.%	\N	Acta Radiol Diagn (Stockh).	\N	\N	\N	Acta Radiol Diagn (Stockh).
191	.Journal.%	\N	Acta Radiol Suppl.	\N	\N	\N	Acta Radiol Suppl.
192	.Journal.%	\N	Acta Radiol Ther Phys Biol.	\N	\N	\N	Acta Radiol Ther Phys Biol.
193	.Journal.%	\N	Acta Radiol Oncol Radiat Phys Biol.	\N	\N	\N	Acta Radiol Oncol Radiat Phys Biol.
194	.Journal.%	\N	Acta Radiol Oncol.	\N	\N	\N	Acta Radiol Oncol.
195	.Journal.%	\N	Acta Med Iran.	\N	\N	\N	Acta Med Iran.
196	.Journal.%	\N	Acta Rheumatol Scand.	\N	\N	\N	Acta Rheumatol Scand.
197	.Journal.%	\N	Acta Sch Med Univ Kioto.	\N	\N	\N	Acta Sch Med Univ Kioto.
198	.Journal.%	\N	Acta Soc Med Ups.	\N	\N	\N	Acta Soc Med Ups.
199	.Journal.%	\N	Acta Stomatol Int.	\N	\N	\N	Acta Stomatol Int.
200	.Journal.%	\N	Nippon Ganka Gakkai Zasshi.	\N	\N	\N	Nippon Ganka Gakkai Zasshi.
201	.Journal.%	\N	Acta Sociomed Scand.	\N	\N	\N	Acta Sociomed Scand.
202	.Journal.%	\N	Acta Stomatol Belg.	\N	\N	\N	Acta Stomatol Belg.
203	.Journal.%	\N	Acta Stomatol Croat.	\N	\N	\N	Acta Stomatol Croat.
204	.Journal.%	\N	Acta Theriol..	\N	\N	\N	Acta Theriol..
205	.Journal.%	\N	Acta Trop..	\N	\N	\N	Acta Trop..
206	.Journal.%	\N	Acta Trop Suppl.	\N	\N	\N	Acta Trop Suppl.
207	.Journal.%	\N	Acta Tuberc Pneumol Belg.	\N	\N	\N	Acta Tuberc Pneumol Belg.
208	.Journal.%	\N	Acta Tuberc Jpn.	\N	\N	\N	Acta Tuberc Jpn.
209	.Journal.%	\N	Acta Tuberc Pneumol Scand.	\N	\N	\N	Acta Tuberc Pneumol Scand.
210	.Journal.%	\N	Acta Univ Carol Med (Praha).	\N	\N	\N	Acta Univ Carol Med (Praha).
211	.Journal.%	\N	Acta Univ Carol Med Monogr.	\N	\N	\N	Acta Univ Carol Med Monogr.
212	.Journal.%	\N	Acta Urol Belg.	\N	\N	\N	Acta Urol Belg.
213	.Journal.%	\N	Hinyokika Kiyo.	\N	\N	\N	Hinyokika Kiyo.
214	.Journal.%	\N	Acta Vet Acad Sci Hung.	\N	\N	\N	Acta Vet Acad Sci Hung.
215	.Journal.%	\N	Acta Vet. Hung..	\N	\N	\N	Acta Vet. Hung..
216	.Journal.%	\N	Acta Vet. Scand..	\N	\N	\N	Acta Vet. Scand..
217	.Journal.%	\N	Acta Vet Scand Suppl.	\N	\N	\N	Acta Vet Scand Suppl.
218	.Journal.%	\N	Acta Virol..	\N	\N	\N	Acta Virol..
219	.Journal.%	\N	Acta Vitaminol. Enzymol..	\N	\N	\N	Acta Vitaminol. Enzymol..
220	.Journal.%	\N	Acta Zool Pathol Antverp.	\N	\N	\N	Acta Zool Pathol Antverp.
221	.Journal.%	\N	Afr J Psychiatry.	\N	\N	\N	Afr J Psychiatry.
222	.Journal.%	\N	Actas Dermosifiliogr.	\N	\N	\N	Actas Dermosifiliogr.
223	.Journal.%	\N	Actas Urol Esp.	\N	\N	\N	Actas Urol Esp.
224	.Journal.%	\N	Acta Univ Palacki Olomuc Fac Med.	\N	\N	\N	Acta Univ Palacki Olomuc Fac Med.
225	.Journal.%	\N	Actas Luso Esp Neurol Psiquiatr Cienc Afines.	\N	\N	\N	Actas Luso Esp Neurol Psiquiatr Cienc Afines.
226	.Journal.%	\N	Actas Luso Esp Neurol Psiquiatr.	\N	\N	\N	Actas Luso Esp Neurol Psiquiatr.
227	.Journal.%	\N	Actual Cardiol Angeiol Int (Paris).	\N	\N	\N	Actual Cardiol Angeiol Int (Paris).
228	.Journal.%	\N	Actual Endocrinol (Paris).	\N	\N	\N	Actual Endocrinol (Paris).
229	.Journal.%	\N	Actual Hepatogastroenterol (Paris).	\N	\N	\N	Actual Hepatogastroenterol (Paris).
230	.Journal.%	\N	Actual Neurophysiol (Paris).	\N	\N	\N	Actual Neurophysiol (Paris).
231	.Journal.%	\N	Actual Odontostomatol (Paris).	\N	\N	\N	Actual Odontostomatol (Paris).
232	.Journal.%	\N	Actual Pediatr (Granada).	\N	\N	\N	Actual Pediatr (Granada).
233	.Journal.%	\N	Actual Pharmacol (Paris).	\N	\N	\N	Actual Pharmacol (Paris).
234	.Journal.%	\N	Acupunct Electrother Res.	\N	\N	\N	Acupunct Electrother Res.
235	.Journal.%	\N	Actual Physiol Pathol (Paris).	\N	\N	\N	Actual Physiol Pathol (Paris).
236	.Journal.%	\N	Addict Behav.	\N	\N	\N	Addict Behav.
237	.Journal.%	\N	Adv Data.	\N	\N	\N	Adv Data.
238	.Journal.%	\N	ADM.	\N	\N	\N	ADM.
239	.Journal.%	\N	Adm Soc Work.	\N	\N	\N	Adm Soc Work.
240	.Journal.%	\N	Addict Dis.	\N	\N	\N	Addict Dis.
241	.Journal.%	\N	Adm Sci Q.	\N	\N	\N	Adm Sci Q.
242	.Journal.%	\N	Adolescence.	\N	\N	\N	Adolescence.
243	.Journal.%	\N	Adult Educ.	\N	\N	\N	Adult Educ.
244	.Journal.%	\N	Adv Anat Embryol Cell Biol.	\N	\N	\N	Adv Anat Embryol Cell Biol.
245	.Journal.%	\N	Adv. Appl. Microbiol..	\N	\N	\N	Adv. Appl. Microbiol..
246	.Journal.%	\N	Adm Ment Health.	\N	\N	\N	Adm Ment Health.
247	.Journal.%	\N	Adv. Biochem. Psychopharmacol..	\N	\N	\N	Adv. Biochem. Psychopharmacol..
248	.Journal.%	\N	Adv Biol Med Phys.	\N	\N	\N	Adv Biol Med Phys.
249	.Journal.%	\N	Lifelong Learn Adult Years.	\N	\N	\N	Lifelong Learn Adult Years.
250	.Journal.%	\N	Adv. Biochem. Eng. Biotechnol..	\N	\N	\N	Adv. Biochem. Eng. Biotechnol..
251	.Journal.%	\N	Adv Biol Skin.	\N	\N	\N	Adv Biol Skin.
252	.Journal.%	\N	Adv Biomed Eng Med Phys.	\N	\N	\N	Adv Biomed Eng Med Phys.
253	.Journal.%	\N	Adv. Biophys..	\N	\N	\N	Adv. Biophys..
254	.Journal.%	\N	Adv. Cancer Res..	\N	\N	\N	Adv. Cancer Res..
255	.Journal.%	\N	Adv Carbohydr Chem Biochem.	\N	\N	\N	Adv Carbohydr Chem Biochem.
256	.Journal.%	\N	Adv Cardiol.	\N	\N	\N	Adv Cardiol.
257	.Journal.%	\N	Adv Cardiopulm Dis.	\N	\N	\N	Adv Cardiopulm Dis.
258	.Journal.%	\N	Adv Cell Biol.	\N	\N	\N	Adv Cell Biol.
259	.Journal.%	\N	Adv Chemother.	\N	\N	\N	Adv Chemother.
260	.Journal.%	\N	Adv Child Dev Behav.	\N	\N	\N	Adv Child Dev Behav.
261	.Journal.%	\N	Adv Contracept.	\N	\N	\N	Adv Contracept.
262	.Journal.%	\N	Adv Chromatogr.	\N	\N	\N	Adv Chromatogr.
263	.Journal.%	\N	Adv Clin Chem.	\N	\N	\N	Adv Clin Chem.
264	.Journal.%	\N	Adv Clin Pharmacol.	\N	\N	\N	Adv Clin Pharmacol.
265	.Journal.%	\N	Adv Comp Physiol Biochem.	\N	\N	\N	Adv Comp Physiol Biochem.
266	.Journal.%	\N	Adv Cyclic Nucleotide Protein Phosphorylation Res.	\N	\N	\N	Adv Cyclic Nucleotide Protein Phosphorylation Res.
267	.Journal.%	\N	Adv Cyclic Nucleotide Res.	\N	\N	\N	Adv Cyclic Nucleotide Res.
268	.Journal.%	\N	Adv Cytopharmacol.	\N	\N	\N	Adv Cytopharmacol.
269	.Journal.%	\N	Adv Drug Res.	\N	\N	\N	Adv Drug Res.
270	.Journal.%	\N	Adv. Enzyme Regul..	\N	\N	\N	Adv. Enzyme Regul..
271	.Journal.%	\N	Adv. Enzymol. Relat. Areas Mol. Biol..	\N	\N	\N	Adv. Enzymol. Relat. Areas Mol. Biol..
272	.Journal.%	\N	Adv. Exp. Med. Biol..	\N	\N	\N	Adv. Exp. Med. Biol..
273	.Journal.%	\N	Adv Fluorine Res.	\N	\N	\N	Adv Fluorine Res.
274	.Journal.%	\N	Adv Health Econ Health Serv Res.	\N	\N	\N	Adv Health Econ Health Serv Res.
