bmkegId	viewType	locked	vpdmfLabel	namespace	thumbnail
50	.Journal.%	\N	Acta Cient Venez.	\N	\N
51	.Journal.%	\N	Acta Clin Belg.	\N	\N
52	.Journal.%	\N	Acta Clin Belg Suppl.	\N	\N
53	.Journal.%	\N	Acta Clin Odontol.	\N	\N
54	.Journal.%	\N	Acta Crystallogr.	\N	\N
55	.Journal.%	\N	Acta Crystallogr A.	\N	\N
57	.Journal.%	\N	Acta Cytol.	\N	\N
58	.Journal.%	\N	Acta Embryol Morphol Exp.	\N	\N
59	.Journal.%	\N	Acta Dermatol Kyoto Engl Ed.	\N	\N
60	.Journal.%	\N	Acta Derm Venereol.	\N	\N
61	.Journal.%	\N	Acta Derm Venereol Suppl (Stockh).	\N	\N
62	.Journal.%	\N	Hifuka Kiyo.	\N	\N
63	.Journal.%	\N	Acta Diabetol Lat.	\N	\N
64	.Journal.%	\N	Acta Embryol Exp (Palermo).	\N	\N
65	.Journal.%	\N	Acta Embryol Morphol Exp.	\N	\N
66	.Journal.%	\N	Acta Endocrinol (Copenh).	\N	\N
67	.Journal.%	\N	Acta Endocrinol Suppl (Copenh).	\N	\N
68	.Journal.%	\N	Acta Eur Fertil.	\N	\N
69	.Journal.%	\N	Acta Gastroenterol Belg.	\N	\N
70	.Journal.%	\N	Acta Gastroenterol Latinoam.	\N	\N
71	.Journal.%	\N	Acta Genet Stat Med.	\N	\N
72	.Journal.%	\N	Acta Genet Med Gemellol (Roma).	\N	\N
73	.Journal.%	\N	Acta Gerontol (Milano).	\N	\N
74	.Journal.%	\N	Acta Ginecol (Madr).	\N	\N
75	.Journal.%	\N	Acta Gynaecol Obstet Hisp Lusit.	\N	\N
76	.Journal.%	\N	Acta Haematol.	\N	\N
77	.Journal.%	\N	Nippon Ketsueki Gakkai Zasshi.	\N	\N
78	.Journal.%	\N	Acta Haematol Pol.	\N	\N
79	.Journal.%	\N	Acta Hepatogastroenterol (Stuttg).	\N	\N
80	.Journal.%	\N	Acta Hist Sci Nat Med.	\N	\N
81	.Journal.%	\N	Acta Histochem.	\N	\N
82	.Journal.%	\N	Acta Iber Radiol Cancerol.	\N	\N
83	.Journal.%	\N	Acta Isot (Padova).	\N	\N
84	.Journal.%	\N	Acta Leiden.	\N	\N
85	.Journal.%	\N	Igaku Kenkyu.	\N	\N
86	.Journal.%	\N	Acta Med Acad Sci Hung.	\N	\N
87	.Journal.%	\N	Acta Med Austriaca.	\N	\N
88	.Journal.%	\N	Acta Med Austriaca Suppl.	\N	\N
89	.Journal.%	\N	Acute Care.	\N	\N
90	.Journal.%	\N	Acta Med Biol (Niigata).	\N	\N
91	.Journal.%	\N	Perspectives.	\N	\N
92	.Journal.%	\N	Acta Med Ital Med Trop Subtrop Gastroenterol.	\N	\N
93	.Journal.%	\N	Acta Med Iugosl.	\N	\N
94	.Journal.%	\N	Acta Med Leg Soc (Liege).	\N	\N
95	.Journal.%	\N	Acta Med Nagasaki.	\N	\N
96	.Journal.%	\N	Fam Pract Res J.	\N	\N
97	.Journal.%	\N	Fetal Ther.	\N	\N
98	.Journal.%	\N	Gynecol Endocrinol.	\N	\N
99	.Journal.%	\N	Int J Dev Neurosci.	\N	\N
100	.Journal.%	\N	J Am Board Fam Pract.	\N	\N
101	.Journal.%	\N	J Biol Regul Homeost Agents.	\N	\N
102	.Journal.%	\N	J Biolumin Chemilumin.	\N	\N
103	.Journal.%	\N	Acta Med Okayama.	\N	\N
104	.Journal.%	\N	J Bone Miner Res.	\N	\N
105	.Journal.%	\N	Acta Med Philipp.	\N	\N
106	.Journal.%	\N	Acta Med Pol.	\N	\N
107	.Journal.%	\N	Acta Med Port.	\N	\N
108	.Journal.%	\N	Acta Med Scand.	\N	\N
109	.Journal.%	\N	Acta Med Scand Suppl.	\N	\N
110	.Journal.%	\N	Acta Med Vet (Napoli).	\N	\N
111	.Journal.%	\N	Acta Microbiol Acad Sci Hung.	\N	\N
112	.Journal.%	\N	Acta Microbiol Bulg.	\N	\N
113	.Journal.%	\N	Acta Microbiol Pol.	\N	\N
114	.Journal.%	\N	Acta Microbiol Pol A.	\N	\N
115	.Journal.%	\N	Acta Microbiol Pol B.	\N	\N
116	.Journal.%	\N	Acta Morphol Acad Sci Hung.	\N	\N
118	.Journal.%	\N	Acta Microbiol Virol Immunol (Sofiia).	\N	\N
119	.Journal.%	\N	Acta Morphol Hung.	\N	\N
120	.Journal.%	\N	Acta Morphol Neerl Scand.	\N	\N
121	.Journal.%	\N	Acta Neurobiol Exp (Wars).	\N	\N
122	.Journal.%	\N	Acta Neurochir (Wien).	\N	\N
123	.Journal.%	\N	Acta Neurochir Suppl (Wien).	\N	\N
124	.Journal.%	\N	Acta Neurol (Napoli).	\N	\N
125	.Journal.%	\N	Acta Rhumatol.	\N	\N
126	.Journal.%	\N	Acta Leprol.	\N	\N
127	.Journal.%	\N	Acta Microbiol Hung.	\N	\N
128	.Journal.%	\N	Acta Neurol Belg.	\N	\N
129	.Journal.%	\N	Acta Neurol Latinoam.	\N	\N
130	.Journal.%	\N	Acta Neurol [Quad] (Napoli).	\N	\N
131	.Journal.%	\N	Acta Neurol Scand.	\N	\N
132	.Journal.%	\N	Acta Neurol Scand Suppl.	\N	\N
133	.Journal.%	\N	Acta Neuropathol (Berl).	\N	\N
134	.Journal.%	\N	Acta Neuropathol Suppl (Berl).	\N	\N
135	.Journal.%	\N	Acta Neuroveg (Wien).	\N	\N
136	.Journal.%	\N	Acta Obstet Ginecol Hisp Lusit.	\N	\N
137	.Journal.%	\N	Acta Obstet Ginecol Hisp Lusit Suppl.	\N	\N
138	.Journal.%	\N	Acta Obstet Gynaecol Jpn.	\N	\N
139	.Journal.%	\N	Acta Obstet Gynecol Scand.	\N	\N
140	.Journal.%	\N	Acta Obstet Gynecol Scand Suppl.	\N	\N
141	.Journal.%	\N	Acta Odontol Scand.	\N	\N
142	.Journal.%	\N	Acta Odontol Scand Suppl.	\N	\N
143	.Journal.%	\N	Acta Odontol Venez.	\N	\N
144	.Journal.%	\N	Acta Oncol (Madr).	\N	\N
145	.Journal.%	\N	Acta Ophthalmol (Copenh).	\N	\N
146	.Journal.%	\N	Acta Ophthalmol Suppl.	\N	\N
147	.Journal.%	\N	Acta Orthop Belg.	\N	\N
148	.Journal.%	\N	Acta Orthop Scand.	\N	\N
149	.Journal.%	\N	Acta Orthop Scand Suppl.	\N	\N
150	.Journal.%	\N	Acta Otolaryngol.	\N	\N
151	.Journal.%	\N	Acta Otolaryngol Suppl.	\N	\N
152	.Journal.%	\N	Acta Otorhinolaryngol Belg.	\N	\N
153	.Journal.%	\N	Acta Otorhinolaryngol Ital.	\N	\N
154	.Journal.%	\N	Acta Otorinolaryngol Iber Am.	\N	\N
155	.Journal.%	\N	Acta Paediatr Acad Sci Hung.	\N	\N
156	.Journal.%	\N	Acta Paediatr Belg.	\N	\N
157	.Journal.%	\N	Nippon Shonika Gakkai Zasshi.	\N	\N
158	.Journal.%	\N	Acta Paediatr Jpn.	\N	\N
159	.Journal.%	\N	Acta Paediatr Scand.	\N	\N
160	.Journal.%	\N	Acta Paediatr Scand Suppl.	\N	\N
161	.Journal.%	\N	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi.	\N	\N
162	.Journal.%	\N	Acta Paedopsychiatr.	\N	\N
163	.Journal.%	\N	Ser Paedopsychiatr.	\N	\N
164	.Journal.%	\N	Acta Pathol Jpn.	\N	\N
165	.Journal.%	\N	Acta Pathol Microbiol Scand.	\N	\N
166	.Journal.%	\N	Acta Pathol Microbiol Scand [A].	\N	\N
167	.Journal.%	\N	Acta Pathol Microbiol Scand [B].	\N	\N
168	.Journal.%	\N	Acta Pathol Microbiol Scand [C].	\N	\N
169	.Journal.%	\N	Acta Pathol Microbiol Scand Suppl.	\N	\N
170	.Journal.%	\N	Acta Pathol Microbiol Immunol Scand Suppl.	\N	\N
171	.Journal.%	\N	Acta Pediatr Esp.	\N	\N
172	.Journal.%	\N	Acta Pathol Microbiol Immunol Scand [A].	\N	\N
173	.Journal.%	\N	Acta Pathol Microbiol Immunol Scand [B].	\N	\N
174	.Journal.%	\N	Acta Pathol Microbiol Immunol Scand [C].	\N	\N
175	.Journal.%	\N	Acta Pharm Hung.	\N	\N
176	.Journal.%	\N	Zhongguo Yao Li Xue Bao.	\N	\N
177	.Journal.%	\N	Yao Xue Xue Bao.	\N	\N
178	.Journal.%	\N	Acta Pharm Suec.	\N	\N
179	.Journal.%	\N	Acta Pharmacol Toxicol (Copenh).	\N	\N
180	.Journal.%	\N	Acta Physiol Acad Sci Hung.	\N	\N
181	.Journal.%	\N	Acta Physiol Hung.	\N	\N
182	.Journal.%	\N	Acta Physiol Lat Am.	\N	\N
183	.Journal.%	\N	Acta Physiol Pharmacol Bulg.	\N	\N
184	.Journal.%	\N	Acta Physiol Pharmacol Latinoam.	\N	\N
185	.Journal.%	\N	Acta Physiol Pharmacol Neerl.	\N	\N
186	.Journal.%	\N	Acta Physiol Pol.	\N	\N
187	.Journal.%	\N	Acta Physiol Scand.	\N	\N
188	.Journal.%	\N	Acta Physiol Scand Suppl.	\N	\N
189	.Journal.%	\N	Acta Pol Pharm.	\N	\N
190	.Journal.%	\N	Acta Psiquiatr Psicol Am Lat.	\N	\N
191	.Journal.%	\N	Acta Psychiatr Belg.	\N	\N
192	.Journal.%	\N	Acta Psychiatr Scand.	\N	\N
193	.Journal.%	\N	Acta Psychiatr Scand Suppl.	\N	\N
194	.Journal.%	\N	Acta Psychol (Amst).	\N	\N
195	.Journal.%	\N	Acta Rhumatol Belg.	\N	\N
196	.Journal.%	\N	Acta Radiol Diagn (Stockh).	\N	\N
197	.Journal.%	\N	Acta Radiol Suppl.	\N	\N
198	.Journal.%	\N	Acta Radiol Ther Phys Biol.	\N	\N
199	.Journal.%	\N	Acta Radiol Oncol Radiat Phys Biol.	\N	\N
200	.Journal.%	\N	Acta Radiol Oncol.	\N	\N
201	.Journal.%	\N	Acta Med Iran.	\N	\N
202	.Journal.%	\N	Acta Rheumatol Scand.	\N	\N
203	.Journal.%	\N	Acta Sch Med Univ Kioto.	\N	\N
204	.Journal.%	\N	Acta Soc Med Ups.	\N	\N
205	.Journal.%	\N	Acta Stomatol Int.	\N	\N
206	.Journal.%	\N	Nippon Ganka Gakkai Zasshi.	\N	\N
207	.Journal.%	\N	Acta Sociomed Scand.	\N	\N
208	.Journal.%	\N	Acta Stomatol Belg.	\N	\N
209	.Journal.%	\N	Acta Stomatol Croat.	\N	\N
210	.Journal.%	\N	Acta Theriol (Warsz).	\N	\N
211	.Journal.%	\N	Acta Trop.	\N	\N
212	.Journal.%	\N	Acta Trop Suppl.	\N	\N
213	.Journal.%	\N	Acta Tuberc Pneumol Belg.	\N	\N
214	.Journal.%	\N	Acta Tuberc Jpn.	\N	\N
215	.Journal.%	\N	Acta Tuberc Pneumol Scand.	\N	\N
216	.Journal.%	\N	Acta Univ Carol [Med] (Praha).	\N	\N
217	.Journal.%	\N	Acta Univ Carol Med Monogr.	\N	\N
218	.Journal.%	\N	Acta Urol Belg.	\N	\N
219	.Journal.%	\N	Hinyokika Kiyo.	\N	\N
220	.Journal.%	\N	Acta Vet Acad Sci Hung.	\N	\N
221	.Journal.%	\N	Acta Vet Hung.	\N	\N
222	.Journal.%	\N	Acta Vet Scand.	\N	\N
223	.Journal.%	\N	Acta Vet Scand Suppl.	\N	\N
224	.Journal.%	\N	Acta Virol.	\N	\N
225	.Journal.%	\N	Acta Vitaminol Enzymol.	\N	\N
226	.Journal.%	\N	Acta Zool Pathol Antverp.	\N	\N
227	.Journal.%	\N	Afr J Med Med Sci.	\N	\N
228	.Journal.%	\N	Afr J Psychiatry.	\N	\N
229	.Journal.%	\N	Actas Dermosifiliogr.	\N	\N
230	.Journal.%	\N	Actas Urol Esp.	\N	\N
231	.Journal.%	\N	Acta Univ Palacki Olomuc Fac Med.	\N	\N
232	.Journal.%	\N	Actas Luso Esp Neurol Psiquiatr Cienc Afines.	\N	\N
234	.Journal.%	\N	Actas Luso Esp Neurol Psiquiatr.	\N	\N
235	.Journal.%	\N	Actual Cardiol Angeiol Int (Paris).	\N	\N
236	.Journal.%	\N	Actual Endocrinol (Paris).	\N	\N
237	.Journal.%	\N	Actual Hepatogastroenterol (Paris).	\N	\N
238	.Journal.%	\N	Actual Neurophysiol (Paris).	\N	\N
239	.Journal.%	\N	Actual Odontostomatol (Paris).	\N	\N
240	.Journal.%	\N	Actual Pediatr (Granada).	\N	\N
241	.Journal.%	\N	Actual Pharmacol (Paris).	\N	\N
242	.Journal.%	\N	Acupunct Electrother Res.	\N	\N
243	.Journal.%	\N	Actual Physiol Pathol (Paris).	\N	\N
244	.Journal.%	\N	Addict Behav.	\N	\N
245	.Journal.%	\N	Adv Data.	\N	\N
246	.Journal.%	\N	ADM.	\N	\N
247	.Journal.%	\N	Adm Soc Work.	\N	\N
248	.Journal.%	\N	Addict Dis.	\N	\N
249	.Journal.%	\N	Adm Sci Q.	\N	\N
250	.Journal.%	\N	Adolescence.	\N	\N
251	.Journal.%	\N	Adult Educ.	\N	\N
252	.Journal.%	\N	Adv Anat Embryol Cell Biol.	\N	\N
253	.Journal.%	\N	Adv Appl Microbiol.	\N	\N
254	.Journal.%	\N	Adm Ment Health.	\N	\N
255	.Journal.%	\N	Adv Biochem Psychopharmacol.	\N	\N
256	.Journal.%	\N	Adv Biol Med Phys.	\N	\N
257	.Journal.%	\N	Lifelong Learn Adult Years.	\N	\N
258	.Journal.%	\N	Adv Biochem Eng Biotechnol.	\N	\N
259	.Journal.%	\N	Adv Biol Skin.	\N	\N
260	.Journal.%	\N	Adv Biomed Eng Med Phys.	\N	\N
261	.Journal.%	\N	Adv Biophys.	\N	\N
262	.Journal.%	\N	Adv Cancer Res.	\N	\N
263	.Journal.%	\N	Adv Carbohydr Chem Biochem.	\N	\N
264	.Journal.%	\N	Adv Cardiol.	\N	\N
265	.Journal.%	\N	Adv Cardiopulm Dis.	\N	\N
266	.Journal.%	\N	Adv Cell Biol.	\N	\N
267	.Journal.%	\N	Adv Chemother.	\N	\N
268	.Journal.%	\N	Adv Child Dev Behav.	\N	\N
269	.Journal.%	\N	Adv Contracept.	\N	\N
270	.Journal.%	\N	Adv Chromatogr.	\N	\N
271	.Journal.%	\N	Adv Clin Chem.	\N	\N
272	.Journal.%	\N	Adv Clin Pharmacol.	\N	\N
273	.Journal.%	\N	Adv Comp Physiol Biochem.	\N	\N
274	.Journal.%	\N	Adv Cyclic Nucleotide Protein Phosphorylation Res.	\N	\N
275	.Journal.%	\N	Adv Cyclic Nucleotide Res.	\N	\N
276	.Journal.%	\N	Adv Cytopharmacol.	\N	\N
277	.Journal.%	\N	Adv Drug Res.	\N	\N
278	.Journal.%	\N	Adv Enzyme Regul.	\N	\N
279	.Journal.%	\N	Adv Enzymol Relat Areas Mol Biol.	\N	\N
280	.Journal.%	\N	Adv Exp Med Biol.	\N	\N
281	.Journal.%	\N	Adv Fluorine Res.	\N	\N
282	.Journal.%	\N	Adv Health Econ Health Serv Res.	\N	\N
283	.Journal.%	\N	Aktuelle Traumatol.	\N	\N
284	.Journal.%	\N	Adv Food Res.	\N	\N
285	.Journal.%	\N	Adv Immun Cancer Ther.	\N	\N
286	.Journal.%	\N	Adv Genet.	\N	\N
287	.Journal.%	\N	Adv Gerontol Res.	\N	\N
288	.Journal.%	\N	Adv Nutr Res.	\N	\N
289	.Journal.%	\N	Adv Heterocycl Chem.	\N	\N
290	.Journal.%	\N	Adv Hum Genet.	\N	\N
291	.Journal.%	\N	Adv Immunol.	\N	\N
292	.Journal.%	\N	Adv Inorg Biochem.	\N	\N
293	.Journal.%	\N	Adv Intern Med.	\N	\N
294	.Journal.%	\N	Adv Lipid Res.	\N	\N
295	.Journal.%	\N	Adv Metab Disord.	\N	\N
296	.Journal.%	\N	Adv Microb Physiol.	\N	\N
297	.Journal.%	\N	Adv Nephrol Necker Hosp.	\N	\N
298	.Journal.%	\N	Adv Morphog.	\N	\N
299	.Journal.%	\N	Adv Neurol.	\N	\N
300	.Journal.%	\N	Shinkei Kenkyu No Shimpo.	\N	\N
301	.Journal.%	\N	Adv Alcohol Subst Abuse.	\N	\N
302	.Journal.%	\N	Adv Ophthalmol.	\N	\N
303	.Journal.%	\N	Adv Oral Biol.	\N	\N
304	.Journal.%	\N	Adv Otorhinolaryngol.	\N	\N
305	.Journal.%	\N	Adv Prostaglandin Thromboxane Res.	\N	\N
306	.Journal.%	\N	Adv Parasitol.	\N	\N
307	.Journal.%	\N	Adv Pathobiol.	\N	\N
308	.Journal.%	\N	Adv Pediatr.	\N	\N
309	.Journal.%	\N	Adv Pest Control Res.	\N	\N
310	.Journal.%	\N	Adv Pharm Sci.	\N	\N
312	.Journal.%	\N	Adv Pharmacol Chemother.	\N	\N
313	.Journal.%	\N	Adverse Drug React Acute Poisoning Rev.	\N	\N
314	.Journal.%	\N	Adv Protein Chem.	\N	\N
315	.Journal.%	\N	Adv Prostaglandin Thromboxane Leukot Res.	\N	\N
316	.Journal.%	\N	Adv Psychobiol.	\N	\N
317	.Journal.%	\N	Adv Psychosom Med.	\N	\N
318	.Journal.%	\N	Adv Sci.	\N	\N
319	.Journal.%	\N	Adv Steroid Biochem Pharmacol.	\N	\N
320	.Journal.%	\N	Adv Surg.	\N	\N
321	.Journal.%	\N	Adv Reprod Physiol.	\N	\N
322	.Journal.%	\N	Adv Tracer Methodol.	\N	\N
323	.Journal.%	\N	Adv Sex Horm Res.	\N	\N
324	.Journal.%	\N	Adv Sociodent Res.	\N	\N
325	.Journal.%	\N	Adv Tuberc Res.	\N	\N
326	.Journal.%	\N	Adv Vet Sci Comp Med.	\N	\N
327	.Journal.%	\N	Adv Shock Res.	\N	\N
328	.Journal.%	\N	Adv Virus Res.	\N	\N
329	.Journal.%	\N	Aeromed Rev.	\N	\N
330	.Journal.%	\N	Aerosp Med.	\N	\N
331	.Journal.%	\N	Arztl Forsch.	\N	\N
332	.Journal.%	\N	Arztl Jugendkd.	\N	\N
333	.Journal.%	\N	Asthet Med (Berl).	\N	\N
334	.Journal.%	\N	Aesthetic Plast Surg.	\N	\N
335	.Journal.%	\N	AFL CIO Am Fed.	\N	\N
336	.Journal.%	\N	Afr J Med Sci.	\N	\N
337	.Journal.%	\N	Aging Leis Living.	\N	\N
338	.Journal.%	\N	Age Ageing.	\N	\N
339	.Journal.%	\N	Aging.	\N	\N
340	.Journal.%	\N	Agents Actions.	\N	\N
341	.Journal.%	\N	Aggiorn Clinico Ter.	\N	\N
342	.Journal.%	\N	Agents Actions Suppl.	\N	\N
343	.Journal.%	\N	Agnes Karll Schwest Krankenpfleger.	\N	\N
344	.Journal.%	\N	Agressologie.	\N	\N
345	.Journal.%	\N	Aichi Gakuin Daigaku Shigakkai Shi.	\N	\N
346	.Journal.%	\N	Arch Interam Rheumatol.	\N	\N
347	.Journal.%	\N	Air Water Pollut.	\N	\N
348	.Journal.%	\N	Aktuelle Gerontol.	\N	\N
349	.Journal.%	\N	Aktuelle Otorhinolaryngol.	\N	\N
350	.Journal.%	\N	Am J Otolaryngol.	\N	\N
351	.Journal.%	\N	Aktuelle Probl Chir.	\N	\N
352	.Journal.%	\N	Aktuelle Probl Chir Orthop.	\N	\N
353	.Journal.%	\N	Adolesc Psychiatry.	\N	\N
354	.Journal.%	\N	Akush Ginekol (Mosk).	\N	\N
355	.Journal.%	\N	Akush Ginekol (Sofiia).	\N	\N
356	.Journal.%	\N	Ala J Med Sci.	\N	\N
357	.Journal.%	\N	Brain Dev.	\N	\N
358	.Journal.%	\N	Ala Nurse.	\N	\N
359	.Journal.%	\N	Am Coll Physicians Obs.	\N	\N
360	.Journal.%	\N	Bull Alameda Cty Dent Soc.	\N	\N
361	.Journal.%	\N	Am J Pediatr Hematol Oncol.	\N	\N
362	.Journal.%	\N	Alaska Med.	\N	\N
363	.Journal.%	\N	Am J Dermatopathol.	\N	\N
364	.Journal.%	\N	Alaska Nurse.	\N	\N
365	.Journal.%	\N	Alcohol Clin Exp Res.	\N	\N
366	.Journal.%	\N	Albrecht Von Graefes Arch Klin Exp Ophthalmol.	\N	\N
367	.Journal.%	\N	Alergia.	\N	\N
368	.Journal.%	\N	Alex Dent J.	\N	\N
369	.Journal.%	\N	Aliment Vie.	\N	\N
370	.Journal.%	\N	Appl Radiol.	\N	\N
371	.Journal.%	\N	Allerg Asthma (Leipz).	\N	\N
372	.Journal.%	\N	Allergy.	\N	\N
373	.Journal.%	\N	Allerg Asthmaforsch.	\N	\N
374	.Journal.%	\N	Allerg Immunol (Leipz).	\N	\N
375	.Journal.%	\N	Allied Health Behav Sci.	\N	\N
376	.Journal.%	\N	AHME J.	\N	\N
377	.Journal.%	\N	AJR Am J Roentgenol.	\N	\N
378	.Journal.%	\N	AIA J.	\N	\N
379	.Journal.%	\N	AJNR Am J Neuroradiol.	\N	\N
380	.Journal.%	\N	Allergol Immunopathol (Madr).	\N	\N
381	.Journal.%	\N	Alcohol Health Res World.	\N	\N
382	.Journal.%	\N	Ala Med.	\N	\N
383	.Journal.%	\N	Alma Mater (Baltimore).	\N	\N
384	.Journal.%	\N	Alpha Omegan.	\N	\N
385	.Journal.%	\N	Altern Entwickl Aging Dev.	\N	\N
386	.Journal.%	\N	Alumnae Mag.	\N	\N
387	.Journal.%	\N	Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc.	\N	\N
388	.Journal.%	\N	Alumni Bull Sch Dent Indiana Univ.	\N	\N
389	.Journal.%	\N	Alumni Bull Univ Mich Sch Dent.	\N	\N
390	.Journal.%	\N	Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc.	\N	\N
391	.Journal.%	\N	Am Behav Sci.	\N	\N
392	.Journal.%	\N	Am Ann Deaf.	\N	\N
393	.Journal.%	\N	Am Arch Rehabil Ther.	\N	\N
394	.Journal.%	\N	Am Assoc Ind Nurses J.	\N	\N
396	.Journal.%	\N	Am Correct Ther J.	\N	\N
397	.Journal.%	\N	Am Fam Physician.	\N	\N
398	.Journal.%	\N	Am Heart J.	\N	\N
399	.Journal.%	\N	Am Pharm.	\N	\N
400	.Journal.%	\N	Am Rehabil.	\N	\N
401	.Journal.%	\N	Am Imago.	\N	\N
402	.Journal.%	\N	Am J Art Ther.	\N	\N
403	.Journal.%	\N	Am Ind Hyg Assoc J.	\N	\N
404	.Journal.%	\N	Am Educ.	\N	\N
405	.Journal.%	\N	Annu Meet Am Inst Oral Biol.	\N	\N
406	.Journal.%	\N	Am J Anat.	\N	\N
407	.Journal.%	\N	Am J Bot.	\N	\N
408	.Journal.%	\N	Am J Cardiol.	\N	\N
409	.Journal.%	\N	Am J Chin Med.	\N	\N
410	.Journal.%	\N	Am J Chin Med.	\N	\N
411	.Journal.%	\N	Am J Clin Hypn.	\N	\N
412	.Journal.%	\N	Am J Clin Nutr.	\N	\N
413	.Journal.%	\N	Am J Clin Oncol.	\N	\N
414	.Journal.%	\N	Am J Clin Pathol.	\N	\N
415	.Journal.%	\N	Am J Community Psychol.	\N	\N
416	.Journal.%	\N	Am J Orthod Dentofacial Orthop.	\N	\N
417	.Journal.%	\N	Am J Dig Dis.	\N	\N
418	.Journal.%	\N	Am J Econ Sociol.	\N	\N
419	.Journal.%	\N	Am J Dis Child.	\N	\N
420	.Journal.%	\N	Am J Drug Alcohol Abuse.	\N	\N
421	.Journal.%	\N	Am J Epidemiol.	\N	\N
422	.Journal.%	\N	Am J Hematol.	\N	\N
423	.Journal.%	\N	Am J Kidney Dis.	\N	\N
424	.Journal.%	\N	Am J Health Plann.	\N	\N
425	.Journal.%	\N	Am J Forensic Med Pathol.	\N	\N
426	.Journal.%	\N	Am J Gastroenterol.	\N	\N
427	.Journal.%	\N	Am J Hosp Pharm.	\N	\N
428	.Journal.%	\N	Am J Hum Genet.	\N	\N
429	.Journal.%	\N	Am J Ind Med.	\N	\N
430	.Journal.%	\N	Am J Law Med.	\N	\N
431	.Journal.%	\N	Am J Med.	\N	\N
432	.Journal.%	\N	Am J Med Electron.	\N	\N
433	.Journal.%	\N	Am J Med Sci.	\N	\N
434	.Journal.%	\N	Am J Med Genet.	\N	\N
435	.Journal.%	\N	Am J Med Technol.	\N	\N
436	.Journal.%	\N	Am J Ment Defic.	\N	\N
437	.Journal.%	\N	Am J Nephrol.	\N	\N
438	.Journal.%	\N	Am J Nurs.	\N	\N
439	.Journal.%	\N	Am J Obstet Gynecol.	\N	\N
440	.Journal.%	\N	Am J Occup Ther.	\N	\N
441	.Journal.%	\N	Am J Ophthalmol.	\N	\N
442	.Journal.%	\N	Am J Optom Arch Am Acad Optom.	\N	\N
443	.Journal.%	\N	Am J Optom Physiol Opt.	\N	\N
444	.Journal.%	\N	Am J Orthod.	\N	\N
445	.Journal.%	\N	Am J Orthop Surg.	\N	\N
446	.Journal.%	\N	Am J Orthopsychiatry.	\N	\N
447	.Journal.%	\N	Am J Otol.	\N	\N
448	.Journal.%	\N	Am J Pharm Educ.	\N	\N
